City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Vaini,TO,75.36,broken clouds,-21.2,-175.2,Keleti Beach Resort
4,Saint-Philippe,RE,74.79,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
5,Amarante Do Maranhao,BR,70.36,scattered clouds,-5.5667,-46.7422,Hotéis Caçulinha
6,Lagoa,PT,65.7,overcast clouds,39.05,-27.9833,Casa Das Faias
7,Tura,IN,88.79,broken clouds,25.5198,90.2201,Hotel RIKMAN Continental
8,Kapaa,US,80.58,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
11,Portland,US,70.09,few clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
13,Rabkavi,IN,72.32,overcast clouds,16.4667,75.1,Dareppa Hindu
14,Bambous Virieux,MU,74.21,light rain,-20.3428,57.7575,Casa Tia Villa
15,Sur,OM,87.53,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
17,Morant Bay,JM,82.02,overcast clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
18,Rikitea,PF,74.17,clear sky,-23.1203,-134.9692,People ThankYou
19,Vanimo,PG,82.56,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
20,Georgetown,MY,89.55,scattered clouds,5.4112,100.3354,Cititel Penang
23,Naze,JP,88.72,clear sky,28.3667,129.4833,Shishime Hotel
25,Laguna,US,82.69,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
35,Atuona,PF,77.65,broken clouds,-9.8,-139.0333,Villa Enata
40,Norman Wells,CA,69.84,smoke,65.282,-126.8329,Heritage Hotel
41,Santa Maria A Vico,IT,79.52,clear sky,41.0255,14.4654,Charming GEA
43,Bud,US,66.15,clear sky,39.447,-86.1758,Ted McQuinn Trust
45,Samarai,PG,81.23,few clouds,-10.6167,150.6667,Nuli Sapi
46,Northam,GB,68.67,clear sky,51.0333,-4.2167,Durrant House Hotel
47,Saint-Pierre,RE,75.9,clear sky,-21.3393,55.4781,Alize Plage
51,Sakakah,SA,87.37,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
54,Butaritari,KI,82.51,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
57,Nikolskoye,RU,70.88,overcast clouds,59.7035,30.7861,Tourist House - Sablino
58,Marsabit,KE,66.4,few clouds,2.3284,37.9899,Chicho Hotel
59,Hithadhoo,MV,82.69,overcast clouds,-0.6,73.0833,Scoop Guest House
61,Ust-Ordynskiy,RU,71.04,overcast clouds,52.805,104.7508,Hotel Metelitsa
64,College,US,66.29,smoke,64.8569,-147.8028,Pike's Waterfront Lodge
66,Coxim,BR,67.84,clear sky,-18.5067,-54.76,Hotel Avenida
67,Komsomolskiy,UZ,88.52,clear sky,40.4272,71.7189,Ikathouse
71,Mahebourg,MU,74.25,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
73,Ponta Do Sol,PT,71.01,few clouds,32.6667,-17.1,Hotel do Campo
76,Palaikastron,GR,77.22,clear sky,35.2,26.25,Marina Village
77,Imbituba,BR,65.86,overcast clouds,-28.24,-48.6703,Praia Hotel Imbituba
80,Souillac,MU,71.98,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
81,Alexandria,EG,82.36,scattered clouds,31.2156,29.9553,Royal Crown Hotel
82,Kahului,US,78.82,few clouds,20.8947,-156.47,Maui Seaside Hotel
83,Isangel,VU,82.51,broken clouds,-19.55,169.2667,Tanna Lodge
85,Alyangula,AU,71.28,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
86,Kavieng,PG,82.33,light rain,-2.5744,150.7967,Nusa Island Retreat
87,Bengkulu,ID,83.55,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
89,Margate,GB,71.87,clear sky,51.3813,1.3862,Premier Inn Margate hotel
91,Fairbanks,US,66.31,smoke,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
92,Peleduy,RU,75.15,overcast clouds,59.6289,112.7406,Гостиница «Уют»
93,Cockburn Town,TC,81.01,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
95,Kommunar,RU,70.52,overcast clouds,59.6206,30.39,Guest House Izhora
101,Port-Gentil,GA,67.96,few clouds,-0.7193,8.7815,Fengshui Residence
102,Saint George,US,88.79,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
104,Vila Franca Do Campo,PT,68.2,scattered clouds,37.7167,-25.4333,Pestana Bahia Praia
105,Kachug,RU,77.49,overcast clouds,53.9606,105.8817,"The hotel ""Empire"""
106,Marsh Harbour,BS,82.78,clear sky,26.5412,-77.0636,Abaco Beach Resort
108,Cap Malheureux,MU,74.46,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
109,Arraial Do Cabo,BR,69.75,clear sky,-22.9661,-42.0278,Pousada Porto Praia
110,Uturoa,PF,77.97,light rain,-16.7333,-151.4333,Villa Tonoï
111,Dingle,PH,83.44,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
112,Atherton,GB,67.75,overcast clouds,53.5237,-2.4935,The Mercury Motel
113,Worland,US,69.6,clear sky,44.0169,-107.9554,Town House Motor Inn
115,Razdolinsk,RU,75.85,scattered clouds,58.4211,94.6658,"""U Nikolaicha"""
117,Muisne,EC,73.36,overcast clouds,0.6,-80.0333,Quinta Samay
118,Fond Du Lac,US,68.07,clear sky,43.775,-88.4388,Radisson Hotel and Conference Center Fond du Lac
119,Mountain Home,US,67.48,clear sky,43.133,-115.6912,Mountain Home Inn
120,Dickinson,US,86.13,clear sky,29.4608,-95.0513,Hampton Inn & Suites Houston/League City
121,Ixtapa,MX,78.22,thunderstorm,20.7,-105.2,hotel la terminal
123,Avarua,CK,69.85,few clouds,-21.2078,-159.775,Paradise Inn
