City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Port Lincoln,AU,-34.7333,135.8667,56.16,74,48,15.52,scattered clouds
1,Vaini,TO,-21.2,-175.2,75.36,83,75,10.36,broken clouds
2,Traiguen,CL,-38.25,-72.6833,38.37,98,100,3.83,overcast clouds
3,Yellowknife,CA,62.456,-114.3525,61.32,82,75,4.61,broken clouds
4,Saint-Philippe,RE,-21.3585,55.7679,74.79,69,28,15.17,scattered clouds
5,Amarante Do Maranhao,BR,-5.5667,-46.7422,70.36,74,43,3.83,scattered clouds
6,Lagoa,PT,39.05,-27.9833,65.7,79,100,8.48,overcast clouds
7,Tura,IN,25.5198,90.2201,88.79,63,82,3.8,broken clouds
8,Kapaa,US,22.0752,-159.319,80.58,77,40,16.11,scattered clouds
9,Port Alfred,ZA,-33.5906,26.891,54.18,82,9,5.99,clear sky
10,Izhma,RU,65.0083,53.9113,82.26,31,93,4.52,overcast clouds
11,Portland,US,45.5234,-122.6762,70.09,69,20,6.91,few clouds
12,Rehoboth,NA,-23.3167,17.0833,46.08,31,0,3.02,clear sky
13,Rabkavi,IN,16.4667,75.1,72.32,86,100,19.3,overcast clouds
14,Bambous Virieux,MU,-20.3428,57.7575,74.21,78,75,14.97,light rain
15,Sur,OM,22.5667,59.5289,87.53,67,100,12.95,overcast clouds
16,Saldanha,ZA,-33.0117,17.9442,50.05,74,15,10.36,few clouds
17,Morant Bay,JM,17.8815,-76.4093,82.02,86,95,8.28,overcast clouds
18,Rikitea,PF,-23.1203,-134.9692,74.17,76,1,6.26,clear sky
19,Vanimo,PG,-2.6741,141.3028,82.56,74,100,6.76,overcast clouds
20,Georgetown,MY,5.4112,100.3354,89.55,70,40,9.22,scattered clouds
21,Mataura,NZ,-46.1927,168.8643,39.47,90,17,4.9,few clouds
22,Haines Junction,CA,60.7522,-137.5108,53.55,87,100,4.61,overcast clouds
23,Naze,JP,28.3667,129.4833,88.72,75,10,8.34,clear sky
24,Jizan,SA,17.3333,42.6667,90.54,33,100,4.59,overcast clouds
25,Laguna,US,38.421,-121.4238,82.69,51,0,6.91,clear sky
26,Upernavik,GL,72.7868,-56.1549,37.36,90,36,5.21,scattered clouds
27,Buraydah,SA,26.326,43.975,95.45,7,0,12.01,clear sky
28,Ketchikan,US,55.3422,-131.6461,54.07,94,100,19.57,moderate rain
29,Vila Velha,BR,-20.3297,-40.2925,64.94,97,40,2.3,scattered clouds
30,Cape Town,ZA,-33.9258,18.4232,54.88,82,75,12.66,broken clouds
31,Punta Arenas,CL,-53.15,-70.9167,17.71,86,0,5.75,clear sky
32,Ushumun,RU,52.7833,126.5333,80.85,40,100,12.15,overcast clouds
33,Jamestown,US,42.097,-79.2353,62.71,83,0,5.75,clear sky
34,Bredasdorp,ZA,-34.5322,20.0403,50.56,87,100,5.82,overcast clouds
35,Atuona,PF,-9.8,-139.0333,77.65,78,80,19.75,broken clouds
36,Hualmay,PE,-11.0964,-77.6139,60.94,88,76,9.6,broken clouds
37,Hofn,IS,64.2539,-15.2082,50.59,88,22,11.1,few clouds
38,New Norfolk,AU,-42.7826,147.0587,53.92,74,100,1.99,overcast clouds
39,Ushuaia,AR,-54.8,-68.3,24.46,86,0,2.3,clear sky
40,Norman Wells,CA,65.282,-126.8329,69.84,64,75,9.22,smoke
41,Santa Maria A Vico,IT,41.0255,14.4654,79.52,41,0,4.07,clear sky
42,Barrow,US,71.2906,-156.7887,48.22,87,0,10.36,clear sky
43,Bud,US,39.447,-86.1758,66.15,86,0,2.86,clear sky
44,Tasiilaq,GL,65.6145,-37.6368,44.76,78,94,3.44,overcast clouds
45,Samarai,PG,-10.6167,150.6667,81.23,72,14,12.06,few clouds
46,Northam,GB,51.0333,-4.2167,68.67,85,6,6.22,clear sky
47,Saint-Pierre,RE,-21.3393,55.4781,75.9,64,0,3.44,clear sky
48,Pisco,PE,-13.7,-76.2167,61.02,82,100,4.61,overcast clouds
49,Longyan,CN,25.1072,117.0225,96.37,40,50,4.09,scattered clouds
50,Poum,NC,-20.2333,164.0167,75.74,77,55,21.18,broken clouds
51,Sakakah,SA,29.9697,40.2064,87.37,18,2,5.95,clear sky
52,Ostrovnoy,RU,68.0531,39.5131,61.34,70,100,13.98,overcast clouds
53,Ribeira Grande,PT,38.5167,-28.7,63.0,77,40,9.22,scattered clouds
54,Butaritari,KI,3.0707,172.7902,82.51,78,100,16.11,overcast clouds
55,Castro,BR,-24.7911,-50.0119,53.64,75,4,4.32,clear sky
56,Khatanga,RU,71.9667,102.5,50.18,48,100,12.48,overcast clouds
57,Nikolskoye,RU,59.7035,30.7861,70.88,69,100,5.46,overcast clouds
58,Marsabit,KE,2.3284,37.9899,66.4,56,22,25.23,few clouds
59,Hithadhoo,MV,-0.6,73.0833,82.69,71,100,3.83,overcast clouds
60,Severo-Kurilsk,RU,50.6789,156.125,60.21,88,58,3.83,broken clouds
61,Ust-Ordynskiy,RU,52.805,104.7508,71.04,47,98,7.85,overcast clouds
62,Albany,US,42.6001,-73.9662,59.4,81,0,2.06,clear sky
63,Hobart,AU,-42.8794,147.3294,54.27,68,75,12.66,broken clouds
64,College,US,64.8569,-147.8028,66.29,86,75,9.22,smoke
65,Adrar,MR,20.5022,-10.0711,88.68,19,0,9.75,clear sky
66,Coxim,BR,-18.5067,-54.76,67.84,46,9,3.69,clear sky
67,Komsomolskiy,UZ,40.4272,71.7189,88.52,19,0,6.91,clear sky
68,Bluff,NZ,-46.6,168.3333,39.79,80,90,17.78,overcast clouds
69,Saskylakh,RU,71.9167,114.0833,42.24,89,100,19.04,light rain
70,Port Hardy,CA,50.6996,-127.4199,62.78,72,75,10.36,broken clouds
71,Mahebourg,MU,-20.4081,57.7,74.25,78,75,14.97,broken clouds
72,Lebu,CL,-37.6167,-73.65,45.05,88,91,7.49,overcast clouds
73,Ponta Do Sol,PT,32.6667,-17.1,71.01,69,17,6.91,few clouds
74,Ancud,CL,-41.8697,-73.8203,44.22,91,78,7.2,light rain
75,Cidreira,BR,-30.1811,-50.2056,62.2,86,100,5.91,overcast clouds
76,Palaikastron,GR,35.2,26.25,77.22,63,0,24.83,clear sky
77,Imbituba,BR,-28.24,-48.6703,65.86,96,100,11.99,overcast clouds
78,Provideniya,RU,64.3833,-173.3,56.46,69,79,6.11,broken clouds
79,Porto Uniao,BR,-26.2381,-51.0783,51.67,98,80,1.72,broken clouds
80,Souillac,MU,-20.5167,57.5167,71.98,78,75,14.97,broken clouds
81,Alexandria,EG,31.2156,29.9553,82.36,54,40,11.5,scattered clouds
82,Kahului,US,20.8947,-156.47,78.82,68,20,13.8,few clouds
83,Isangel,VU,-19.55,169.2667,82.51,78,75,4.61,broken clouds
84,Husavik,IS,66.0449,-17.3389,47.93,98,100,2.42,overcast clouds
85,Alyangula,AU,-13.8483,136.4192,71.28,68,86,10.38,overcast clouds
86,Kavieng,PG,-2.5744,150.7967,82.33,78,15,11.65,light rain
87,Bengkulu,ID,-3.8004,102.2655,83.55,68,41,7.09,scattered clouds
88,Tuktoyaktuk,CA,69.4541,-133.0374,41.07,90,99,10.11,overcast clouds
89,Margate,GB,51.3813,1.3862,71.87,72,0,5.86,clear sky
90,Airai,TL,-8.9266,125.4092,63.43,81,84,3.69,broken clouds
91,Fairbanks,US,64.8378,-147.7164,66.31,87,75,9.22,smoke
92,Peleduy,RU,59.6289,112.7406,75.15,40,95,4.92,overcast clouds
93,Cockburn Town,TC,21.4612,-71.1419,81.01,82,100,20.04,overcast clouds
94,Mehamn,NO,71.0357,27.8492,57.15,77,0,4.61,clear sky
95,Kommunar,RU,59.6206,30.39,70.52,72,100,5.12,overcast clouds
96,Lengshuijiang,CN,27.6881,111.4294,95.36,53,90,9.78,overcast clouds
97,Qaanaaq,GL,77.484,-69.3632,39.83,94,100,3.2,overcast clouds
98,Hasaki,JP,35.7333,140.8333,91.29,84,83,9.71,broken clouds
99,Torbay,CA,47.6666,-52.7314,55.27,87,0,10.36,clear sky
100,Busselton,AU,-33.65,115.3333,59.58,63,67,5.66,broken clouds
101,Port-Gentil,GA,-0.7193,8.7815,67.96,94,20,3.44,few clouds
102,Saint George,US,37.1041,-113.5841,88.79,19,0,5.75,clear sky
103,Chuy,UY,-33.6971,-53.4616,61.66,98,100,8.52,overcast clouds
104,Vila Franca Do Campo,PT,37.7167,-25.4333,68.2,89,31,6.06,scattered clouds
105,Kachug,RU,53.9606,105.8817,77.49,28,96,5.37,overcast clouds
106,Marsh Harbour,BS,26.5412,-77.0636,82.78,77,4,14.34,clear sky
107,Aklavik,CA,68.2191,-135.0107,59.02,75,95,10.87,overcast clouds
108,Cap Malheureux,MU,-19.9842,57.6142,74.46,67,0,13.0,clear sky
109,Arraial Do Cabo,BR,-22.9661,-42.0278,69.75,89,6,21.85,clear sky
