City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Mount Gambier,AU,2022-07-07 20:10:05,-37.8333,140.7667,48.11,93,75,17.27
1,Arraial Do Cabo,BR,2022-07-07 20:10:06,-22.9661,-42.0278,73.26,78,0,12.66
2,Rikitea,PF,2022-07-07 20:10:06,-23.1203,-134.9692,74.53,76,100,24.54
3,High Level,CA,2022-07-07 20:10:06,58.5169,-117.136,74.48,44,100,9.64
4,Bambous Virieux,MU,2022-07-07 20:10:07,-20.3428,57.7575,71.85,64,40,12.66
5,Albany,US,2022-07-07 20:10:07,42.6001,-73.9662,83.79,50,75,3.67
6,Panguna,PG,2022-07-07 20:10:08,-6.3164,155.4848,66.9,96,97,3.18
7,Port Elizabeth,ZA,2022-07-07 20:10:08,-33.918,25.5701,50.29,93,41,5.75
8,Banjarmasin,ID,2022-07-07 20:08:28,-3.3244,114.591,75.34,95,90,3.33
9,Mongo,TD,2022-07-07 20:10:09,12.1844,18.693,86.97,49,62,5.3
10,Nyurba,RU,2022-07-07 20:10:09,63.2842,118.3319,57.49,62,100,10.56
11,Bluff,NZ,2022-07-07 20:10:09,-46.6,168.3333,45.81,84,100,26.15
12,Avarua,CK,2022-07-07 20:10:10,-21.2078,-159.775,73.45,60,100,10.36
13,Frontera,MX,2022-07-07 20:10:10,26.9333,-101.45,99.32,28,40,6.91
14,Hermanus,ZA,2022-07-07 20:10:11,-34.4187,19.2345,56.07,89,84,1.86
15,New Norfolk,AU,2022-07-07 20:10:11,-42.7826,147.0587,46.92,85,98,1.99
16,Vidalia,US,2022-07-07 20:08:36,32.2177,-82.4135,80.55,78,100,10.36
17,Coquimbo,CL,2022-07-07 20:10:12,-29.9533,-71.3436,58.73,67,0,11.5
18,Kholtoson,RU,2022-07-07 20:10:12,50.2981,103.3097,47.89,93,99,2.93
19,Bengkulu,ID,2022-07-07 20:10:13,-3.8004,102.2655,76.32,88,52,2.57
20,Nanortalik,GL,2022-07-07 20:10:13,60.1432,-45.2371,45.1,91,73,4.34
21,Punta Arenas,CL,2022-07-07 20:10:13,-53.15,-70.9167,33.91,86,20,11.5
22,Dikson,RU,2022-07-07 20:10:14,73.5069,80.5464,39.63,87,100,12.95
23,Bathsheba,BB,2022-07-07 20:10:14,13.2167,-59.5167,86.61,80,40,19.57
24,Coahuayana,MX,2022-07-07 20:10:14,18.7333,-103.6833,90.43,55,57,6.51
25,Aklavik,CA,2022-07-07 20:10:15,68.2191,-135.0107,85.86,29,43,9.62
26,Sturgis,US,2022-07-07 20:10:15,41.7992,-85.4192,84.0,65,75,3.44
27,Dubti,ET,2022-07-07 20:10:16,11.7361,41.0853,97.09,22,98,10.11
28,Mataura,NZ,2022-07-07 20:10:16,-46.1927,168.8643,45.48,92,100,13.02
29,Qaanaaq,GL,2022-07-07 20:09:09,77.484,-69.3632,44.37,65,100,3.38
30,Bredasdorp,ZA,2022-07-07 20:10:17,-34.5322,20.0403,51.24,91,26,3.31
31,Broome,US,2022-07-07 20:10:17,42.2506,-75.833,84.56,55,0,5.75
32,San Patricio,US,2022-07-07 20:10:17,28.017,-97.5169,99.32,38,3,17.4
33,Cape Town,ZA,2022-07-07 20:10:18,-33.9258,18.4232,62.38,85,98,0.36
34,Lebu,CL,2022-07-07 20:10:18,-37.6167,-73.65,50.49,70,14,4.59
35,Dunedin,NZ,2022-07-07 20:07:50,-45.8742,170.5036,45.81,95,100,20.0
36,Loreto,MX,2022-07-07 20:10:19,22.2667,-101.9667,81.79,27,0,15.32
37,Tiksi,RU,2022-07-07 20:10:19,71.6872,128.8694,37.65,86,95,16.78
38,Kloulklubed,PW,2022-07-07 20:07:57,7.0419,134.2556,80.53,85,100,16.02
39,Grafton,US,2022-07-07 20:10:20,42.207,-71.6856,81.09,50,20,8.05
40,Gamba,GA,2022-07-07 20:10:20,-2.65,10.0,69.6,93,38,5.95
41,Gazli,UZ,2022-07-07 20:10:21,40.1333,63.45,78.58,26,0,11.07
42,Port Blair,IN,2022-07-07 20:10:21,11.6667,92.75,81.68,82,100,13.76
43,Dauriya,RU,2022-07-07 20:10:22,49.9333,116.8667,58.96,90,100,14.81
44,Sur,OM,2022-07-07 20:10:19,22.5667,59.5289,83.32,82,73,1.97
45,Inirida,CO,2022-07-07 20:09:05,3.8653,-67.9239,85.28,69,28,1.19
46,Khatanga,RU,2022-07-07 20:10:22,71.9667,102.5,44.38,49,0,7.34
47,Thompson,CA,2022-07-07 20:09:37,55.7435,-97.8558,79.61,27,87,5.48
48,Mar Del Plata,AR,2022-07-07 20:06:27,-38.0023,-57.5575,52.09,42,0,15.99
49,Vao,NC,2022-07-07 20:09:03,-22.6667,167.4833,74.05,91,0,13.24
50,Vanavara,RU,2022-07-07 20:10:23,60.34,102.2797,56.19,98,100,2.59
