City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Atasu,KZ,2022-07-10 19:09:48,48.6814,71.6433,64.22,67,77,11.65
1,Thompson,CA,2022-07-10 19:09:48,55.7435,-97.8558,84.36,26,100,6.6
2,Avarua,CK,2022-07-10 19:09:49,-21.2078,-159.775,73.45,53,40,5.75
3,Airai,TL,2022-07-10 19:09:49,-8.9266,125.4092,55.24,91,67,3.53
4,New Norfolk,AU,2022-07-10 19:09:49,-42.7826,147.0587,47.7,77,100,3.13
5,Hermanus,ZA,2022-07-10 19:09:50,-34.4187,19.2345,51.8,69,97,6.76
6,Baruun-Urt,MN,2022-07-10 19:09:50,46.6806,113.2792,61.99,51,100,8.05
7,Asau,RO,2022-07-10 19:09:51,46.4333,26.4,63.52,91,82,4.36
8,Baykit,RU,2022-07-10 19:09:51,61.67,96.37,50.23,92,0,5.08
9,Okhotsk,RU,2022-07-10 19:09:51,59.3833,143.3,57.34,93,46,5.91
10,Kapaa,US,2022-07-10 19:09:52,22.0752,-159.319,82.72,78,75,18.41
11,Marsh Harbour,BS,2022-07-10 19:05:30,26.5412,-77.0636,84.47,70,24,7.96
12,Port Alfred,ZA,2022-07-10 19:09:52,-33.5906,26.891,60.62,77,100,8.66
13,Dubti,ET,2022-07-10 19:09:53,11.7361,41.0853,80.35,66,100,21.05
14,Shetpe,KZ,2022-07-10 19:09:53,44.1667,52.1167,85.93,15,0,8.46
15,Hobart,AU,2022-07-10 19:05:21,-42.8794,147.3294,48.06,78,100,9.22
16,Vaini,TO,2022-07-10 19:09:54,-21.2,-175.2,73.56,88,40,8.05
17,Flinders,AU,2022-07-10 19:09:54,-34.5833,150.8552,53.19,88,74,4.0
18,Adrar,MR,2022-07-10 19:09:54,20.5022,-10.0711,105.91,6,0,10.56
19,Humaita,BR,2022-07-10 19:09:55,-7.5061,-63.0208,88.09,50,93,2.19
20,Albany,US,2022-07-10 19:09:55,42.6001,-73.9662,82.58,35,98,3.74
21,Geraldton,AU,2022-07-10 19:06:00,-28.7667,114.6,46.81,93,59,3.44
22,Fortuna,US,2022-07-10 19:09:56,40.5982,-124.1573,70.93,76,75,3.0
23,Tiksi,RU,2022-07-10 19:09:56,71.6872,128.8694,55.4,58,6,2.19
24,Benjamin Constant,BR,2022-07-10 19:09:56,-4.3831,-70.0311,80.73,78,40,4.61
25,Jamestown,US,2022-07-10 19:09:57,42.097,-79.2353,82.06,31,0,4.0
26,Kaitangata,NZ,2022-07-10 19:09:57,-46.2817,169.8464,37.98,86,62,5.23
27,Yumen,CN,2022-07-10 19:09:57,40.2833,97.2,74.21,44,85,8.28
28,Avera,US,2022-07-10 19:09:58,33.194,-82.5271,87.55,47,79,6.04
29,Bredasdorp,ZA,2022-07-10 19:09:59,-34.5322,20.0403,50.9,86,65,5.97
30,Boguchany,RU,2022-07-10 19:09:59,58.3814,97.4531,60.12,99,68,4.68
31,Iqaluit,CA,2022-07-10 19:09:59,63.7506,-68.5145,40.62,76,76,5.21
32,Chuguyevka,RU,2022-07-10 19:10:00,44.1653,133.8633,65.12,98,100,2.3
33,Hilo,US,2022-07-10 19:10:00,19.7297,-155.09,82.27,96,100,10.36
34,Mataura,NZ,2022-07-10 19:10:01,-46.1927,168.8643,32.49,95,94,3.13
35,Cape Town,ZA,2022-07-10 19:05:08,-33.9258,18.4232,55.11,88,47,3.0
36,Ushuaia,AR,2022-07-10 19:09:32,-54.8,-68.3,33.46,69,75,8.05
37,Punta Arenas,CL,2022-07-10 19:08:49,-53.15,-70.9167,35.71,69,75,2.3
38,Isangel,VU,2022-07-10 19:10:02,-19.55,169.2667,76.03,87,11,8.16
39,Chokurdakh,RU,2022-07-10 19:10:02,70.6333,147.9167,60.26,52,100,10.76
40,Severo-Kurilsk,RU,2022-07-10 19:07:09,50.6789,156.125,60.17,72,100,6.73
41,Lazaro Cardenas,MX,2022-07-10 19:07:06,17.9583,-102.2,87.67,60,37,6.4
42,Sitka,US,2022-07-10 19:10:03,57.0531,-135.33,58.89,67,100,10.36
43,Tsiroanomandidy,MG,2022-07-10 19:10:04,-18.7667,46.0333,58.12,67,0,5.73
44,Upernavik,GL,2022-07-10 19:05:46,72.7868,-56.1549,38.66,85,54,3.58
45,Lodja,CD,2022-07-10 19:11:04,-3.4833,23.4333,77.49,31,30,1.32
46,Sipoo,FI,2022-07-10 19:11:05,60.3775,25.2691,64.99,77,0,3.44
47,Mishelevka,RU,2022-07-10 19:11:05,52.8575,103.1719,55.85,89,100,4.65
48,Ucluelet,CA,2022-07-10 19:11:06,48.9329,-125.5528,60.1,92,100,1.01
49,Muravlenko,RU,2022-07-10 19:11:06,63.7898,74.523,62.08,66,24,8.72
50,Kavieng,PG,2022-07-10 19:11:06,-2.5744,150.7967,81.3,78,44,11.18
51,Pirovskoye,RU,2022-07-10 19:11:07,57.6267,92.2658,62.76,89,3,7.74
52,Faanui,PF,2022-07-10 19:11:07,-16.4833,-151.75,78.58,71,95,20.2
53,Nishihara,JP,2022-07-10 19:11:08,26.1842,127.7558,82.06,94,75,5.75
54,Kushima,JP,2022-07-10 19:11:08,31.4583,131.2333,74.66,92,96,2.71
55,Luwuk,ID,2022-07-10 19:11:08,-0.9516,122.7875,74.52,91,100,4.09
56,Mar Del Plata,AR,2022-07-10 19:11:09,-38.0023,-57.5575,58.08,70,100,10.0
57,Kutum,SD,2022-07-10 19:11:09,14.2,24.6667,88.39,21,95,4.97
58,Waitati,NZ,2022-07-10 19:11:10,-45.75,170.5667,38.8,75,68,4.21
59,Bengkulu,ID,2022-07-10 19:11:10,-3.8004,102.2655,74.48,89,99,3.76
60,Fairbanks,US,2022-07-10 19:11:07,64.8378,-147.7164,64.36,92,100,4.61
61,Busselton,AU,2022-07-10 19:11:11,-33.65,115.3333,54.97,65,96,3.04
62,Socorro,US,2022-07-10 19:11:11,31.6546,-106.3033,96.51,27,40,9.22
63,Qaanaaq,GL,2022-07-10 19:11:11,77.484,-69.3632,44.58,70,100,3.38
64,Kinablangan,PH,2022-07-10 19:11:12,7.6947,126.5503,78.24,83,58,3.65
65,Son La,VN,2022-07-10 19:11:12,21.3167,103.9,69.48,98,52,2.17
66,Taltal,CL,2022-07-10 19:07:13,-25.4,-70.4833,61.47,51,0,3.58
67,San Cristobal,VE,2022-07-10 19:11:13,7.7669,-72.225,78.98,46,96,7.2
68,Salair,RU,2022-07-10 19:11:13,54.2312,85.7972,59.11,83,0,2.73
69,Cherskiy,RU,2022-07-10 19:11:14,68.75,161.3,49.95,60,100,7.76
70,San Quintin,MX,2022-07-10 19:11:14,30.4833,-115.95,74.57,65,6,14.79
71,Zhigansk,RU,2022-07-10 19:11:15,66.7697,123.3711,55.33,67,9,7.72
72,Marau,BR,2022-07-10 19:11:15,-28.4492,-52.2,68.36,76,100,7.52
73,Tuatapere,NZ,2022-07-10 19:11:16,-46.1333,167.6833,33.67,93,78,4.21
74,Balkanabat,TM,2022-07-10 19:11:16,39.5108,54.3671,90.63,15,0,12.39
75,Odweyne,SO,2022-07-10 19:11:16,9.4092,45.064,71.35,49,90,22.48
76,Guerrero Negro,MX,2022-07-10 19:08:47,27.9769,-114.0611,77.32,59,15,15.55
77,Barrow,US,2022-07-10 19:11:17,71.2906,-156.7887,60.82,63,0,3.44
78,Manokwari,ID,2022-07-10 19:11:17,-0.8667,134.0833,77.92,83,100,6.2
79,Hithadhoo,MV,2022-07-10 19:11:18,-0.6,73.0833,82.65,69,100,2.82
80,Bluff,NZ,2022-07-10 19:11:18,-46.6,168.3333,32.81,79,80,14.92
81,Itarema,BR,2022-07-10 19:11:19,-2.9248,-39.9167,83.26,66,18,13.8
82,Khatanga,RU,2022-07-10 19:07:14,71.9667,102.5,47.8,61,93,12.68
83,Camacha,PT,2022-07-10 19:11:19,33.0833,-16.3333,67.42,78,75,21.85
84,Quatre Cocos,MU,2022-07-10 19:11:20,-20.2078,57.7625,70.09,60,93,21.77
85,Gambissara,SN,2022-07-10 19:11:20,13.2382,-14.3108,88.66,59,52,7.11
86,Egvekinot,RU,2022-07-10 19:11:21,66.3167,-179.1667,42.89,91,100,5.55
87,Betsiamites,CA,2022-07-10 19:11:21,48.9413,-68.646,66.16,53,29,11.68
88,Butaritari,KI,2022-07-10 19:11:21,3.0707,172.7902,81.75,79,23,16.98
89,Jasper,US,2022-07-10 19:11:22,37.2001,-94.3502,91.45,45,0,6.91
90,Pacific Grove,US,2022-07-10 19:12:22,36.6177,-121.9166,74.34,84,75,9.22
91,Mayumba,GA,2022-07-10 19:12:23,-3.432,10.6554,69.48,86,10,6.2
92,Huallanca,PE,2022-07-10 19:12:23,-9.8993,-76.9417,60.1,38,91,8.37
93,Chatrapur,IN,2022-07-10 19:12:24,19.35,84.9833,81.61,86,94,2.75
94,Kolondieba,ML,2022-07-10 19:12:24,11.0882,-6.8926,80.87,67,100,6.22
95,Nyrob,RU,2022-07-10 19:12:24,60.733,56.7202,67.01,86,92,2.33
96,Ferme-Neuve,CA,2022-07-10 19:12:25,46.7001,-75.4493,79.09,35,100,7.74
97,Sinnamary,GF,2022-07-10 19:10:02,5.3833,-52.95,81.7,78,20,7.72
98,Virginia Beach,US,2022-07-10 19:12:25,36.8529,-75.978,71.64,94,100,9.22
99,Kloulklubed,PW,2022-07-10 19:12:26,7.0419,134.2556,83.43,70,97,5.06
100,Naze,JP,2022-07-10 19:12:26,28.3667,129.4833,78.4,90,8,4.54
101,Meulaboh,ID,2022-07-10 19:09:37,4.1363,96.1285,76.98,88,100,2.95
102,Lugovoy,KZ,2022-07-10 19:12:27,42.9472,72.7644,70.54,35,15,2.44
103,Souillac,MU,2022-07-10 19:12:27,-20.5167,57.5167,70.18,68,40,17.27
104,Tasiilaq,GL,2022-07-10 19:12:27,65.6145,-37.6368,50.16,78,45,2.84
105,Torbay,CA,2022-07-10 19:12:28,47.6666,-52.7314,69.76,56,0,18.84
